username, created_at, lng, lat, text
lexhdz16, Tue Apr 21 03:32:51 +0000 2020, -96.932840, 33.170366, i really wanted to go to texas tulips ): 
6_tweetunder, Tue Apr 21 03:32:51 +0000 2020, -98.540651, 29.417501, Hello, @TotalSoccerShow ? Yes, I have a listener question, please discuss the tweet that is quote tweeted to this o… https://t.co/OUIAQKEMu0 
markw147, Tue Apr 21 03:32:51 +0000 2020, -73.474050, 40.783517, @NYIDraftman @PinkIsles I miss that rapier wit! 😁 
Jtrev14, Tue Apr 21 03:32:51 +0000 2020, -98.152419, 26.347525, I can’t believe there are people that are actually like this lol 
HisNameIsBerto, Tue Apr 21 03:32:51 +0000 2020, -75.117998, 40.004866, I caved in earlier &amp; bought a JSC hoodie 😩💚 
newton_films, Tue Apr 21 03:32:51 +0000 2020, -80.397915, 25.641723, ¿Cuantos meses en trending le falta al COVID-19? 
__HappyFace___, Tue Apr 21 03:32:51 +0000 2020, -117.772917, 34.065450, @existentialh03 Your sisters hairs all bomb 
DavidFl83836604, Tue Apr 21 03:32:51 +0000 2020, -85.978600, 35.830522, #TheGators🐊🐊🐊 
ItsTexasT03, Tue Apr 21 03:32:51 +0000 2020, -97.096655, 31.608942, @Dawgs_Cowboys4L 🤣🤣🤣 
tre_henricks_23, Tue Apr 21 03:32:51 +0000 2020, -105.526476, 40.362097, @rayce07 Lol I was kidding, dude I do the same thing https://t.co/RJfVgrJh9d 
LachePoindexte3, Tue Apr 21 03:32:52 +0000 2020, -122.085776, 37.641271, @alexisskyyyyyy Lmao omg 😆 
jussayAH, Tue Apr 21 03:32:52 +0000 2020, -76.069946, 36.802541, @NaeemahRose @1ChynaB @waydamin Bingo. 
LouisPeitzman, Tue Apr 21 03:32:52 +0000 2020, -73.968542, 40.780709, Excited to wake up and realize this whole thing was a ridiculously detailed nightmare. :) 
rgpatnode, Tue Apr 21 03:32:52 +0000 2020, -122.278486, 37.758798, @LeilaLstorvad @A_Rosie_Life Another emergency averted 😅 
Laurelbsteele, Tue Apr 21 03:32:52 +0000 2020, -122.330602, 47.614817, 🤔 
carlaa_victoria, Tue Apr 21 03:32:52 +0000 2020, -118.411907, 34.020789, @cRUMSS Excuse the fuck outta me? 
tranisland, Tue Apr 21 03:32:52 +0000 2020, -95.446486, 29.838495, @isaabeljuarez Bro you called me a duck  #toxic #bully 
Jaescott26, Tue Apr 21 03:32:52 +0000 2020, -96.785531, 32.604786, @R0WDYD0WDY @conjurer1444 33 states...The moreact.This is blatant mockery to a people who don't know their histor… https://t.co/WAvAPzCIUA 
MsMicolefoster, Tue Apr 21 03:32:52 +0000 2020, -83.173867, 32.678207, Yasssss😩 
antasia_armour, Tue Apr 21 03:32:52 +0000 2020, -81.705467, 41.495940, #shopnowasa #shop https://t.co/QpT7p3s4Mp 
neal9182691712, Tue Apr 21 03:32:53 +0000 2020, -95.877887, 35.962259, @RadioFreeTom @gtconway3d Relax. Lower your voice lady.😆 
xoseix, Tue Apr 21 03:32:53 +0000 2020, -68.984705, 45.188407, @SavRealm k 
FlavorTownSam, Tue Apr 21 03:32:53 +0000 2020, -118.068689, 33.866965, So ready for the album  https://t.co/qNAADzeZVX 
Cephas64, Tue Apr 21 03:32:53 +0000 2020, -80.181835, 38.920142, @charliekirk11 The proverbial horse is out of the barn already, but better late than never 
TylerSaintReal, Tue Apr 21 03:32:53 +0000 2020, -88.728421, 34.264073, @Jeffc6549 Thanks my friend 
_DeepThot_, Tue Apr 21 03:32:53 +0000 2020, -95.446486, 29.838495, lady gaga drop the fucking album challenge. do that challenge 
honchaquavo, Tue Apr 21 03:32:53 +0000 2020, -119.037648, 35.429265, are we just going to forget about the time when EVERYONE was wearing a puka shell necklace? 
joeycradio, Tue Apr 21 03:32:53 +0000 2020, -98.540651, 29.417501, @iiHectorfrmkdz I have one pero me duele todo el cuerpo la panzota whew 
SarahBear_smile, Tue Apr 21 03:32:53 +0000 2020, -75.011178, 39.939512, @ReynaBeteran @MetalMama1987 @Pillio_ I wish. Im struggling soo ba. Back in 2014, i was the one GIVING.  Since then… https://t.co/itP8mtwXsQ 
jlayne68, Tue Apr 21 03:32:53 +0000 2020, -97.754724, 30.323346, @henrymcmaster Reopen, you fucking idiot and tell me this isn’t political. 
CreoleFreak, Tue Apr 21 03:32:53 +0000 2020, -92.076701, 32.521243, @ChancellorMarq Right! Everyone else is apparently doing it 🤣🤣🤣 
KingMeeeek, Tue Apr 21 03:32:53 +0000 2020, -74.184848, 40.734494, I’m sleepy 
CliffordStockt1, Tue Apr 21 03:32:53 +0000 2020, -89.922029, 35.133521, @photographycwC Sir, respectfully. I did not. In the eye of a storm there is a lull in violent and deadly actively… https://t.co/v7Rmyr2UTr 
chelliebeach954, Tue Apr 21 03:32:53 +0000 2020, -80.149173, 26.150368, Things you didn't know you need... old school address book to alphabetically keep track of movies you own and movie… https://t.co/RXyiCbfO5f 
Berk_Brown, Tue Apr 21 03:32:54 +0000 2020, -96.246819, 41.264775, This remind me of when the greatest philosopher of our time - Ty Webb - asked:“Is this Russia? This isn’t Russia,… https://t.co/OIPosmoM60 
billykilroy, Tue Apr 21 03:32:54 +0000 2020, -80.144175, 26.633710, @Soroosh19 @CJ_isnowblue @realDonaldTrump Nope he is more stupid than me that is for sure 
webman1776, Tue Apr 21 03:32:54 +0000 2020, -122.765409, 47.039416, Pelosi - her betrayal of America by delaying funding desparately neede by small businesses is pathetic. Vote her out in November !! 
SoRabbitHearted, Tue Apr 21 03:32:54 +0000 2020, -122.330602, 47.614817, 🦅 poem by @JoyHarjo https://t.co/SJOG8ygYx9 
TonyPar36282257, Tue Apr 21 03:32:54 +0000 2020, -122.630908, 45.536402, @realDonaldTrump https://t.co/PfAJmMWmtd 
GroovyTimes777, Tue Apr 21 03:32:54 +0000 2020, -122.630908, 45.536402, @JoeBiden when will you be in tv again 
CisnerosCrux, Tue Apr 21 03:32:54 +0000 2020, -100.365274, 25.807314, @chairoantifacho Estoy de acuerdo 
rashadcraft4, Tue Apr 21 03:32:54 +0000 2020, -90.011008, 29.982601, World 🌎 🙏🏿 
EthanClarkWX, Tue Apr 21 03:32:54 +0000 2020, -78.657837, 35.843981, @lh0ch Makes total sense, not. 
Pryncessjayy, Tue Apr 21 03:32:54 +0000 2020, -77.014398, 38.898603, He’s fine🥰🥰 
DaddyNa2U, Tue Apr 21 03:32:54 +0000 2020, -86.142922, 39.779562, Playing again 🥴 
tblacktrv, Tue Apr 21 03:32:54 +0000 2020, -86.142922, 39.779562, @VivanDavis11 @lisaabramowicz1 They care Uncle Tom due to the coronavirus in the air. 
WarrenHICKMAN9, Tue Apr 21 03:32:54 +0000 2020, -80.429318, 25.520408, @Phillip60272024 Nice dick 
OmarMKE1, Tue Apr 21 03:32:55 +0000 2020, -88.129425, 43.060621, @ImSoSarah @MattCordio Agreed Sarah! 
stevetures, Tue Apr 21 03:32:55 +0000 2020, -106.417430, 31.793368, @PressSec Why not "President Individual-1"?  There's some federal documents that describe him like that. 
BluezBayouz, Tue Apr 21 03:32:54 +0000 2020, -82.447160, 28.219121, @Baligubadle1 @realDonaldTrump Oh wait.. tweet proves different https://t.co/So4xEE6jFi 
tayjuhhrose, Tue Apr 21 03:32:55 +0000 2020, -91.034669, 30.542440, fuck loving these miggas , thug these niggas 🤮 
_Imnoscientist, Tue Apr 21 03:32:55 +0000 2020, -80.230358, 26.164865, This bitch just trying to promote her OnlyFans, y'all help her out. 
christianjevans, Tue Apr 21 03:32:55 +0000 2020, -89.609400, 40.720700, Download the FREE ebook! #PersonalTrainer #Peoria #PeoriaIllinois #Fitness #Workout #Health #MensHealth… https://t.co/S1nvb1Z4Lf 
vivialanis03, Tue Apr 21 03:32:55 +0000 2020, -100.366033, 25.650287, @victoriaaserna @BetoGzz15 
SooSUSPENDED, Tue Apr 21 03:32:55 +0000 2020, -73.831187, 40.670879, @stawpfeenin Bitch, I wanna hear you use it. jzjzjzjzjzjzjzjzjzj 
samuelj41944686, Tue Apr 21 03:32:55 +0000 2020, -118.918886, 34.188478, @XXL 😂 Tekashi is something else man! 
Anuhh25, Tue Apr 21 03:32:56 +0000 2020, -117.887439, 33.739992, @J_Sura95 fuck nooo😂 
IAmEricKenney, Tue Apr 21 03:32:56 +0000 2020, -111.917026, 40.765805, You’re know from LA when you see “rodeo” and automatically pronounce it “Roe-Day-O” instead of “roe-dee-O” 
tairek5, Tue Apr 21 03:32:56 +0000 2020, -78.895441, 35.990983, African/American I switch it on and off .. now no rhythm is definitely funny I’ve turnt clubs out lol in the middle… https://t.co/6fgOxGbIqd 
Xoxo_carlitos, Tue Apr 21 03:32:56 +0000 2020, -121.581229, 37.004844, @tapiarosalio Qué pasó 
TheMasterDS, Tue Apr 21 03:32:56 +0000 2020, -97.094506, 32.846237, Also this might be an unpopular opinion, but SMB2 not being a theme is probably for the best. It would’ve been too… https://t.co/hpIYYGLwGE 
VirallyAds, Tue Apr 21 03:32:56 +0000 2020, -74.007210, 40.714754, ❤#SaveTheWorld from #Coronavirus!  Recycle empty soda bottles into face shields and become a hero!… https://t.co/0ELByzh0Dt 
nate_wildweasel, Tue Apr 21 03:32:56 +0000 2020, -98.001361, 41.115654, @morgan_m_kramer Peanut butter chocolate chip bars?? 
ChadThomasSmith, Tue Apr 21 03:32:56 +0000 2020, -86.435508, 36.965671, First Watercolor Rose bloom of 2020. @boxwood1843 #HealthyAtHome #socialdistancebg https://t.co/BYAMDmTIpm 
sanoel222, Tue Apr 21 03:32:56 +0000 2020, -77.101999, 38.880845, @asnoel https://t.co/TTGZrTcHJW 
evelin_chaidez, Tue Apr 21 03:32:56 +0000 2020, -118.411907, 34.020789, I still fit into my prom dress from 5 years ago 😅😅😅😅 
assssh13, Tue Apr 21 03:32:56 +0000 2020, -97.432425, 27.737151, perioddddd, fuck feelings 🥴😂🤷🏼‍♀️ 
doctordangatang, Tue Apr 21 03:32:56 +0000 2020, -78.487448, 38.040036, gonna make my mans use a slim jim as a whip during sex 
SRC_ChangeAgent, Tue Apr 21 03:32:56 +0000 2020, -72.108118, 41.345003, 🗣🗣🗣 
KodyPemberton, Tue Apr 21 03:32:56 +0000 2020, -86.680738, 32.576227, @emily_cain33 @TTChilders @ShaneSmithMusic For sure amigo! 
RMGaustad, Tue Apr 21 03:32:56 +0000 2020, -122.633370, 38.244454, @PressSec Tramp. 
Living_Legende, Tue Apr 21 03:32:56 +0000 2020, -81.734812, 41.384923, 🤣🤣🤣 
jillianivey, Tue Apr 21 03:32:57 +0000 2020, -75.117998, 40.004866, @btdill YIKES. Stay safe out (in?) there. 
lesleyb111, Tue Apr 21 03:32:57 +0000 2020, -122.998970, 49.353963, @DQuietToon @JMcNChicago No one is truly ready for a loved one to go. That’s quite callous. 
nittibadass, Tue Apr 21 03:32:57 +0000 2020, -96.994833, 32.768591, Nothing hurts more than being alone... 
Bob22grego, Tue Apr 21 03:32:57 +0000 2020, -101.166961, 25.032632, @TH_eterno @MayconMedeiro11 So quer boberinha ne ele kkkmmk 
supsup010, Tue Apr 21 03:32:57 +0000 2020, -82.306723, 27.827367, 🤬🤬🤬🤬 
